GEO.id,GEO.id2,GEO.display-label,VD01
Id,Id2,Geography,Median household income in 1999
8600000US00601,00601,ZCTA5 00601,9888
8600000US00602,00602,ZCTA5 00602,11384
8600000US00603,00603,ZCTA5 00603,10748
8600000US00604,00604,ZCTA5 00604,31199
8600000US00606,00606,ZCTA5 00606,9243
8600000US00610,00610,ZCTA5 00610,12629
8600000US00612,00612,ZCTA5 00612,13000
8600000US00616,00616,ZCTA5 00616,10476
8600000US00617,00617,ZCTA5 00617,11511
8600000US00622,00622,ZCTA5 00622,13634
8600000US00623,00623,ZCTA5 00623,13565
8600000US00624,00624,ZCTA5 00624,12194
8600000US00627,00627,ZCTA5 00627,13168
8600000US00631,00631,ZCTA5 00631,8345
8600000US00637,00637,ZCTA5 00637,12485
8600000US00638,00638,ZCTA5 00638,10986
8600000US00641,00641,ZCTA5 00641,9901
8600000US00646,00646,ZCTA5 00646,16378
8600000US00647,00647,ZCTA5 00647,9607
8600000US00650,00650,ZCTA5 00650,11544
8600000US00652,00652,ZCTA5 00652,12097
8600000US00653,00653,ZCTA5 00653,9770
8600000US00656,00656,ZCTA5 00656,11361
8600000US00659,00659,ZCTA5 00659,12378
8600000US00660,00660,ZCTA5 00660,16745
8600000US00662,00662,ZCTA5 00662,11753
8600000US00664,00664,ZCTA5 00664,11220
8600000US00667,00667,ZCTA5 00667,11426
8600000US00669,00669,ZCTA5 00669,9758
8600000US00670,00670,ZCTA5 00670,9556
8600000US00674,00674,ZCTA5 00674,12820
8600000US00676,00676,ZCTA5 00676,11271
8600000US00677,00677,ZCTA5 00677,11460
8600000US00678,00678,ZCTA5 00678,12005
8600000US00680,00680,ZCTA5 00680,12042
8600000US00682,00682,ZCTA5 00682,11121
8600000US00683,00683,ZCTA5 00683,13036
8600000US00685,00685,ZCTA5 00685,11014
8600000US00687,00687,ZCTA5 00687,12090
8600000US00688,00688,ZCTA5 00688,11729
8600000US00690,00690,ZCTA5 00690,12629
8600000US00692,00692,ZCTA5 00692,13691
8600000US00693,00693,ZCTA5 00693,13857
8600000US00698,00698,ZCTA5 00698,11924
8600000US006HH,006HH,ZCTA5 006HH,0
8600000US006XX,006XX,ZCTA5 006XX,0
8600000US00703,00703,ZCTA5 00703,12463
8600000US00704,00704,ZCTA5 00704,11340
8600000US00705,00705,ZCTA5 00705,12725
8600000US00707,00707,ZCTA5 00707,11638
8600000US00714,00714,ZCTA5 00714,11484
8600000US00715,00715,ZCTA5 00715,10556
8600000US00716,00716,ZCTA5 00716,15610
8600000US00717,00717,ZCTA5 00717,11697
8600000US00718,00718,ZCTA5 00718,11461
8600000US00719,00719,ZCTA5 00719,12472
8600000US00720,00720,ZCTA5 00720,9945
8600000US00723,00723,ZCTA5 00723,12021
8600000US00725,00725,ZCTA5 00725,16558
8600000US00728,00728,ZCTA5 00728,14351
8600000US00729,00729,ZCTA5 00729,14131
8600000US00730,00730,ZCTA5 00730,10992
8600000US00731,00731,ZCTA5 00731,13246
8600000US00735,00735,ZCTA5 00735,16440
8600000US00736,00736,ZCTA5 00736,13511
8600000US00738,00738,ZCTA5 00738,15859
8600000US00739,00739,ZCTA5 00739,15571
8600000US00740,00740,ZCTA5 00740,9748
8600000US00741,00741,ZCTA5 00741,13195
8600000US00745,00745,ZCTA5 00745,15006
8600000US00751,00751,ZCTA5 00751,11298
8600000US00754,00754,ZCTA5 00754,12226
8600000US00757,00757,ZCTA5 00757,11895
8600000US00765,00765,ZCTA5 00765,9331
8600000US00766,00766,ZCTA5 00766,11728
8600000US00767,00767,ZCTA5 00767,12292
8600000US00769,00769,ZCTA5 00769,12064
8600000US00771,00771,ZCTA5 00771,14622
8600000US00772,00772,ZCTA5 00772,8962
8600000US00773,00773,ZCTA5 00773,13631
8600000US00775,00775,ZCTA5 00775,17008
8600000US00777,00777,ZCTA5 00777,13072
8600000US00778,00778,ZCTA5 00778,16451
8600000US00780,00780,ZCTA5 00780,12092
8600000US00782,00782,ZCTA5 00782,11027
8600000US00783,00783,ZCTA5 00783,11786
8600000US00784,00784,ZCTA5 00784,12180
8600000US00791,00791,ZCTA5 00791,14464
8600000US00794,00794,ZCTA5 00794,11322
8600000US00795,00795,ZCTA5 00795,12892
8600000US007HH,007HH,ZCTA5 007HH,0
8600000US007XX,007XX,ZCTA5 007XX,0
8600000US00901,00901,ZCTA5 00901,9751
8600000US00906,00906,ZCTA5 00906,7361
8600000US00907,00907,ZCTA5 00907,21485
8600000US00909,00909,ZCTA5 00909,13840
8600000US00911,00911,ZCTA5 00911,24987
8600000US00912,00912,ZCTA5 00912,14506
8600000US00913,00913,ZCTA5 00913,6450
8600000US00915,00915,ZCTA5 00915,10038
8600000US00917,00917,ZCTA5 00917,12068
8600000US00918,00918,ZCTA5 00918,27639
8600000US00920,00920,ZCTA5 00920,20759
8600000US00921,00921,ZCTA5 00921,15923
8600000US00923,00923,ZCTA5 00923,12594
8600000US00924,00924,ZCTA5 00924,14820
8600000US00925,00925,ZCTA5 00925,11970
8600000US00926,00926,ZCTA5 00926,26306
8600000US00927,00927,ZCTA5 00927,30625
8600000US00934,00934,ZCTA5 00934,37063
8600000US00949,00949,ZCTA5 00949,18968
8600000US00952,00952,ZCTA5 00952,14398
8600000US00953,00953,ZCTA5 00953,20313
8600000US00956,00956,ZCTA5 00956,17956
8600000US00957,00957,ZCTA5 00957,17866
8600000US00959,00959,ZCTA5 00959,22301
8600000US00961,00961,ZCTA5 00961,23219
8600000US00962,00962,ZCTA5 00962,12852
8600000US00965,00965,ZCTA5 00965,10978
8600000US00966,00966,ZCTA5 00966,49354
8600000US00968,00968,ZCTA5 00968,38075
8600000US00969,00969,ZCTA5 00969,35516
8600000US00971,00971,ZCTA5 00971,16045
8600000US00976,00976,ZCTA5 00976,22143
8600000US00979,00979,ZCTA5 00979,29234
8600000US00982,00982,ZCTA5 00982,20906
8600000US00983,00983,ZCTA5 00983,20012
8600000US00985,00985,ZCTA5 00985,18854
8600000US00987,00987,ZCTA5 00987,23884
8600000US009HH,009HH,ZCTA5 009HH,0
8600000US01001,01001,ZCTA5 01001,45735
8600000US01002,01002,ZCTA5 01002,42567
8600000US01005,01005,ZCTA5 01005,50395
8600000US01007,01007,ZCTA5 01007,52425
8600000US01008,01008,ZCTA5 01008,52663
8600000US01010,01010,ZCTA5 01010,50181
8600000US01011,01011,ZCTA5 01011,45511
8600000US01012,01012,ZCTA5 01012,50938
8600000US01013,01013,ZCTA5 01013,32412
8600000US01020,01020,ZCTA5 01020,37282
8600000US01022,01022,ZCTA5 01022,41083
8600000US01026,01026,ZCTA5 01026,42917
8600000US01027,01027,ZCTA5 01027,45921
8600000US01028,01028,ZCTA5 01028,62835
8600000US01029,01029,ZCTA5 01029,46528
8600000US01030,01030,ZCTA5 01030,55724
8600000US01031,01031,ZCTA5 01031,44333
8600000US01032,01032,ZCTA5 01032,52500
8600000US01033,01033,ZCTA5 01033,54173
8600000US01034,01034,ZCTA5 01034,53333
8600000US01035,01035,ZCTA5 01035,51851
8600000US01036,01036,ZCTA5 01036,65196
8600000US01037,01037,ZCTA5 01037,56094
8600000US01038,01038,ZCTA5 01038,50030
8600000US01039,01039,ZCTA5 01039,53750
8600000US01040,01040,ZCTA5 01040,30441
8600000US01050,01050,ZCTA5 01050,49336
8600000US01053,01053,ZCTA5 01053,56094
8600000US01054,01054,ZCTA5 01054,60208
8600000US01056,01056,ZCTA5 01056,47053
8600000US01057,01057,ZCTA5 01057,52159
8600000US01060,01060,ZCTA5 01060,38739
8600000US01062,01062,ZCTA5 01062,47115
8600000US01068,01068,ZCTA5 01068,60781
8600000US01069,01069,ZCTA5 01069,42154
8600000US01070,01070,ZCTA5 01070,36500
8600000US01071,01071,ZCTA5 01071,46500
8600000US01072,01072,ZCTA5 01072,56563
8600000US01073,01073,ZCTA5 01073,61831
8600000US01075,01075,ZCTA5 01075,46731
8600000US01077,01077,ZCTA5 01077,52296
8600000US01080,01080,ZCTA5 01080,39155
8600000US01081,01081,ZCTA5 01081,48125
