Year,ZCTA5,Median household income
2014,11201,98775
2014,11203,46630
2014,11204,45593
2014,11205,47050
2014,11206,30686
2014,11207,33816
2014,11208,34527
2014,11209,59934
2014,11210,56052
2014,11211,50943
2014,11212,28146
2014,11213,34804
2014,11214,45838
2014,11215,99040
2014,11216,45566
2014,11217,85199
2014,11218,54441
2014,11219,35083
2014,11220,38052
2014,11221,39785
2014,11222,66610
2014,11223,40873
2014,11224,27011
2014,11225,43543
2014,11226,42182
2014,11228,62821
2014,11229,51985
2014,11230,41820
2014,11231,83383
2014,11232,44583
2014,11233,34432
2014,11234,67713
2014,11235,42257
2014,11236,60135
2014,11237,42496
2014,11238,69491
2014,11239,27886
2014,78610,74550
2014,78613,83146
2014,78617,45040
2014,78641,73535
2014,78652,70868
2014,78653,62415
2014,78660,75138
2014,78664,61673
2014,78681,96086
2014,78701,87306
2014,78702,37690
2014,78703,81903
2014,78704,52306
2014,78705,12786
2014,78712,
2014,78717,99541
2014,78719,38875
2014,78721,36698
2014,78722,54526
2014,78723,42615
2014,78724,36776
2014,78725,65048
2014,78726,68777
2014,78727,69699
2014,78728,49521
2014,78729,60567
2014,78730,108421
2014,78731,79315
2014,78732,128397
2014,78733,127250
2014,78734,92904
2014,78735,81152
2014,78736,86439
2014,78737,122886
2014,78738,127683
2014,78739,130199
2014,78741,31192
2014,78742,35700
2014,78744,41331
2014,78745,52949
2014,78746,128556
2014,78747,62243
2014,78748,68835
2014,78749,84954
2014,78750,73659
2014,78751,41279
2014,78752,37396
2014,78753,39228
2014,78754,53040
2014,78756,63750
2014,78757,60856
2014,78758,44476
2014,78759,70095
2014,94102,24127
2014,94103,41612
2014,94104,80341
2014,94105,170656
2014,94107,120610
2014,94108,36875
2014,94109,63173
2014,94110,84488
2014,94111,103472
2014,94112,71505
2014,94114,122970
2014,94115,85330
2014,94116,84828
2014,94117,103333
2014,94118,82993
2014,94121,70220
2014,94122,86070
2014,94123,121200
2014,94124,49594
2014,94127,131108
2014,94129,144886
2014,94130,38077
2014,94131,100114
2014,94132,66607
2014,94133,53150
2014,94134,60230
2014,94158,83542
2014,94577,64660
2014,94601,39601
2014,94602,68813
2014,94603,40962
2014,94605,57610
2014,94606,37288
2014,94607,34192
2014,94608,55959
2014,94609,56378
2014,94610,73850
2014,94611,107577
2014,94612,30879
2014,94613,
2014,94618,123575
2014,94619,78676
2014,94621,30528
2014,94704,30997
2014,94705,96537
2014,97034,104020
2014,97035,73330
2014,97080,63032
2014,97086,75867
2014,97201,44393
2014,97202,55606
2014,97203,42912
2014,97204,13576
2014,97205,29782
2014,97206,52414
2014,97208,
2014,97209,42936
2014,97210,71949
2014,97211,62938
2014,97212,84100
2014,97213,58176
2014,97214,52440
2014,97215,68016
2014,97216,44919
2014,97217,53704
2014,97218,48448
2014,97219,77598
2014,97220,46908
2014,97221,92174
2014,97222,49558
2014,97223,65109
2014,97225,72010
2014,97227,44342
2014,97229,98303
2014,97230,46237
2014,97231,85481
2014,97232,45671
2014,97233,39150
2014,97236,40907
2014,97239,75302
2014,97266,36772
