year,zip_code,total_population,white_population
2011,11201,51356,34218
2011,11203,80337,3455
2011,11204,78690,54871
2011,11205,38997,19004
2011,11206,79674,33226
2011,11207,89676,12369
2011,11208,93447,30198
2011,11209,71704,56639
2011,11210,64508,23257
2011,11211,90522,77004
2011,11212,80311,4015
2011,11213,62231,12234
2011,11214,78326,46636
2011,11215,65477,48921
2011,11216,53065,6049
2011,11217,38992,20643
2011,11218,76811,44478
2011,11219,94083,62378
2011,11220,99540,34656
2011,11221,77041,19773
2011,11222,33482,28754
2011,11223,73208,48847
2011,11224,45092,27162
2011,11225,58987,7893
2011,11226,99422,10097
2011,11228,42585,29670
2011,11229,77021,55534
2011,11230,85757,62147
2011,11231,35109,21658
2011,11232,27925,12195
2011,11233,66315,2736
2011,11234,94891,44551
2011,11235,71129,56791
2011,11236,94643,7623
2011,11237,52123,12547
2011,11238,50840,18761
2011,11239,12802,4620
2011,78610,22052,17817
2011,78613,63901,50457
2011,78617,18572,10266
2011,78641,43655,37893
2011,78652,4256,3765
2011,78653,14631,8136
2011,78660,67630,41989
2011,78664,51942,38563
2011,78681,51409,41412
2011,78701,5084,4097
2011,78702,20643,12260
2011,78703,19579,17589
2011,78704,41616,34331
2011,78705,29247,21882
2011,78712,544,436
2011,78717,22278,15990
2011,78719,1427,924
2011,78721,11100,4375
2011,78722,5733,4387
2011,78723,29869,17621
2011,78724,20447,8798
2011,78725,6021,2354
2011,78726,13198,10111
2011,78727,28075,19598
2011,78728,20232,12967
2011,78729,27024,20429
2011,78730,8242,6783
2011,78731,24898,21629
2011,78732,13389,11072
2011,78733,9219,8204
2011,78734,16729,14361
2011,78735,16024,13752
2011,78736,6599,5759
2011,78737,12458,11416
2011,78738,11504,10554
2011,78739,15957,13399
2011,78741,46959,20892
2011,78742,780,267
2011,78744,41593,17907
2011,78745,55010,42196
2011,78746,26677,24134
2011,78747,13179,7786
2011,78748,37784,29989
2011,78749,33947,27816
2011,78750,26734,20569
2011,78751,14526,12044
2011,78752,16494,11640
2011,78753,51547,28196
2011,78754,13326,5969
2011,78756,7682,7036
2011,78757,22542,18773
2011,78758,43577,21342
2011,78759,40602,31247
2011,94102,24754,11002
2011,94103,23361,11056
2011,94104,286,179
2011,94105,4225,2329
2011,94107,27185,16361
2011,94108,13851,4551
2011,94109,53809,31988
2011,94110,70174,48186
2011,94111,3562,2083
2011,94112,79915,28099
2011,94114,32175,26898
2011,94115,32180,19931
2011,94116,43980,18298
2011,94117,41214,29086
2011,94118,38529,20407
2011,94121,44169,19398
2011,94122,56859,24117
2011,94123,22350,19128
2011,94124,33558,7868
2011,94127,19300,12481
2011,94129,2690,2196
2011,94130,2300,1246
2011,94131,27718,18959
2011,94132,30306,12124
2011,94133,27357,10868
2011,94134,39032,8800
2011,94158,3144,1218
2011,94577,44521,20867
2011,94601,49479,15520
2011,94602,28827,13379
