year,zip_code,median_rent,rent_percentage_of_household_income
2011,11201,1581,24.7
2011,11203,1067,32.8
2011,11204,1111,35.8
2011,11205,1090,29.3
2011,11206,771,30.8
2011,11207,953,33.7
2011,11208,1095,38.8
2011,11209,1218,29.4
2011,11210,1051,31.3
2011,11211,1139,32.2
2011,11212,835,33.2
2011,11213,973,34.2
2011,11214,1031,34.3
2011,11215,1612,26.3
2011,11216,1038,33.8
2011,11217,1473,26.7
2011,11218,1194,34
2011,11219,1102,40.6
2011,11220,1085,35.3
2011,11221,1023,34.1
2011,11222,1261,28
2011,11223,992,33.6
2011,11224,725,31.3
2011,11225,1016,33
2011,11226,1065,34.6
2011,11228,1192,29.1
2011,11229,1021,31.4
2011,11230,1122,35.4
2011,11231,1420,26.2
2011,11232,1186,38.5
2011,11233,978,34.3
2011,11234,1212,31.1
2011,11235,1040,34.7
2011,11236,1175,28.7
2011,11237,1126,35.4
2011,11238,1247,28.8
2011,11239,883,31.1
2011,78610,1247,37.9
2011,78613,1064,30
2011,78617,1072,34.9
2011,78641,1173,28.9
2011,78652,1134,28.4
2011,78653,1304,28.3
2011,78660,1143,35
2011,78664,1006,27.1
2011,78681,1167,26.4
2011,78701,1522,29.6
2011,78702,695,30.4
2011,78703,1093,29.1
2011,78704,895,29.7
2011,78705,1001,50
2011,78712,,
2011,78717,977,23.3
2011,78719,1188,28.8
2011,78721,830,40.3
2011,78722,887,31.6
2011,78723,815,31.8
2011,78724,939,42.1
2011,78725,1197,32.8
2011,78726,1037,25.5
2011,78727,989,26.6
2011,78728,887,30
2011,78729,1012,26.9
2011,78730,1101,24.5
2011,78731,969,30
2011,78732,1573,31.4
2011,78733,1521,21.1
2011,78734,1297,32.6
2011,78735,1107,27.6
2011,78736,1023,22.7
2011,78737,1139,27.4
2011,78738,1281,21.8
2011,78739,2001,30.2
2011,78741,811,36.9
2011,78742,669,37.4
2011,78744,898,34.9
2011,78745,958,30.4
2011,78746,1205,24.7
2011,78747,1048,30.5
2011,78748,1086,28.9
2011,78749,1093,24.7
2011,78750,989,27.9
2011,78751,829,36.2
2011,78752,744,31.2
2011,78753,795,31
2011,78754,925,27.4
2011,78756,883,27.1
2011,78757,878,31.9
2011,78758,875,30.1
2011,78759,938,26.4
2011,94102,863,34.6
2011,94103,919,29.6
2011,94104,375,39.8
2011,94105,2001,24.7
2011,94107,1896,24.6
2011,94108,859,29.8
2011,94109,1240,27.1
2011,94110,1325,27.2
2011,94111,1900,26.4
2011,94112,1275,33.5
2011,94114,1716,23.8
2011,94115,1461,27.2
2011,94116,1666,27.4
2011,94117,1626,25.2
2011,94118,1468,27.1
2011,94121,1447,28
2011,94122,1524,26.9
2011,94123,1752,21.3
2011,94124,940,33.2
2011,94127,1971,20.4
2011,94129,2001,24.9
2011,94130,1753,40.6
2011,94131,1606,24.5
2011,94132,1656,37.4
2011,94133,1175,28.7
2011,94134,1105,32.8
2011,94158,1942,29
2011,94577,1145,31.6
2011,94601,937,38.1
2011,94602,1089,32.3
2011,94603,1096,45.6
2011,94605,1093,43.2
2011,94606,978,33.5
2011,94607,885,34
2011,94608,1312,35
2011,94609,1036,31.4
2011,94610,1184,25
2011,94611,1121,27.5
2011,94612,824,29.4
2011,94613,,
2011,94618,1541,24.3
2011,94619,1126,36.3
2011,94621,1035,44.3
2011,94704,1235,48.2
2011,94705,1224,27.1
2011,97034,1372,31.1
2011,97035,1092,27.5
2011,97080,874,30.3
2011,97086,955,34.3
2011,97201,956,41.1
2011,97202,846,28.2
2011,97203,842,38.7
2011,97204,502,31.7
2011,97205,709,33.3
2011,97206,888,32.1
2011,97208,,
2011,97209,838,31
2011,97210,820,27.9
2011,97211,1017,35.6
2011,97212,962,28.9
2011,97213,875,30.4
2011,97214,820,28.9
2011,97215,848,30.4
2011,97216,898,31
2011,97217,823,31.9
2011,97218,840,37.9
2011,97219,885,27.3
2011,97220,930,38.2
2011,97221,817,37.1
2011,97222,859,29
2011,97223,845,28.9
2011,97225,955,24
2011,97227,912,29.3
2011,97229,918,27
2011,97230,825,35.3
2011,97231,960,31
2011,97232,803,28.8
2011,97233,807,36.2
2011,97236,849,36.1
2011,97239,896,26.4
2011,97266,855,35.2
2014,11201,1902,25.3
2014,11203,1158,35.1
2014,11204,1205,36.5
2014,11205,1182,30.2
2014,11206,893,31.6
2014,11207,1054,34.9
2014,11208,1137,37.9
2014,11209,1330,30
2014,11210,1130,31.8
2014,11211,1337,30.8
2014,11212,936,34.8
